Word,Frequency,Letters_Number,Unique_Letters_number,Difference,Tokens_Number,Tokens_gpt4o-mini,GPT4o-mini_IFCorrect,GPT4o_IFCorrect,LlaMa3.1-8B_IFCorrect,Gemma2-9B_IFCorrect,Mixtral-7B_IFCorrect
dasylab,24007,7,6,1,3,das yl ab,1,1,0,0,1
ingoio,18469,6,4,2,2,ingo io,1,1,0,1,0
plqyboy,27729,7,6,1,4,pl q y boy,1,0,0,0,0
grateful,5901215,8,8,0,2,gr ateful,1,1,0,1,0
dobrinishte,44979,11,10,1,4,dob rin is hte,0,1,0,0,0
lvg,48818,3,3,0,2,l vg,1,1,1,1,1
stroboscopic,20909,12,8,4,3,st rob oscopic,0,1,0,0,0
blogfood,15547,8,6,2,2,blog food,0,0,0,0,0
helical,713286,7,6,1,2,hel ical,1,1,0,1,0
bicultural,97705,10,8,2,2,b icultural,0,0,0,0,0
aylsworth,18990,9,9,0,3,ay l sworth,1,1,0,1,0
gomes,525272,5,5,0,2,g omes,1,1,1,0,0
sharka,19749,6,5,1,3,sh ark a,1,1,1,1,1
doddridge,71987,9,6,3,3,d odd ridge,0,0,0,0,0
dyson,1646710,5,5,0,2,dy son,1,1,1,1,1
erielack,68626,8,7,1,3,er iel ack,0,1,0,0,0
depres,31552,6,5,1,2,dep res,0,1,0,0,0
lutwyche,26039,8,8,0,3,lut wy che,1,1,1,1,1
linkcounts,17972,10,9,1,2,link counts,1,1,0,0,0
pozza,12960,5,4,1,2,po zza,1,1,0,0,0
achp,27217,4,4,0,2,ach p,1,1,1,1,1
widths,1297416,6,6,0,2,width s,1,1,1,0,0
leidy,36115,5,5,0,2,le idy,1,1,1,0,0
diomedes,31640,8,6,2,3,di omed es,0,1,0,0,0
vineet,86682,6,5,1,2,vine et,0,1,0,0,1
riog,45472,4,4,0,2,ri og,1,1,1,0,0
meanders,148534,8,7,1,2,me anders,1,1,1,1,0
marlin,1762749,6,6,0,2,mar lin,1,1,1,1,0
sento,50568,5,5,0,2,s ento,1,1,1,1,0
tilmeld,34547,7,6,1,2,til meld,0,1,0,1,0
hornpipes,20613,9,8,1,2,horn pipes,0,0,0,0,0
cbv,57033,3,3,0,2,cb v,1,1,1,1,1
yutaka,171381,6,5,1,3,y ut aka,0,1,0,1,0
freshener,321208,9,6,3,2,fresh ener,0,1,0,0,0
logspace,13293,8,8,0,2,log space,1,1,1,1,0
jahns,19195,5,5,0,2,jah ns,1,1,1,0,1
vliz,26399,4,4,0,2,vl iz,1,1,1,1,1
finances,6647959,8,7,1,2,fin ances,1,1,0,0,0
stddev,67600,6,5,1,2,std dev,0,1,0,0,0
brunnette,22606,9,6,3,3,br un nette,0,1,0,0,0
wwwat,43742,5,3,2,2,www at,1,1,0,0,1
guffman,32096,7,6,1,2,g uffman,1,1,0,0,0
collider,456804,8,7,1,2,coll ider,0,1,0,0,0
viridiplantae,98995,13,10,3,5,vir id ipl ant ae,0,1,0,0,0
evicts,14760,6,6,0,2,ev icts,1,1,1,1,0
cusumano,37773,8,7,1,3,cus um ano,0,1,0,0,0
kasumigaseki,26068,12,8,4,5,kas um ig ase ki,0,0,0,0,0
shrii,17653,5,4,1,3,sh ri i,0,1,0,0,0
diary,14922472,5,5,0,2,di ary,1,1,1,0,0
anonftp,14513,7,6,1,2,anon ftp,0,1,0,1,0
evaw,53985,4,4,0,2,ev aw,0,1,1,0,0
facialsblack,43087,12,8,4,3,fac ials black,0,0,0,0,0
horbury,29026,7,6,1,2,hor bury,0,1,1,0,0
tolerence,21609,9,7,2,3,tol er ence,0,0,0,0,0
xlg,71299,3,3,0,2,x lg,1,1,1,1,1
gaurang,15793,7,5,2,3,g aur ang,1,1,0,0,0
mulberrytech,73940,12,10,2,3,mul berry tech,0,0,0,0,0
ncsbn,14242,5,4,1,3,nc s bn,1,1,0,0,0
refcounting,18078,11,10,1,3,ref count ing,0,0,0,0,0
outfile,357376,7,7,0,1,outfile,0,0,0,0,1
saites,20857,6,5,1,3,s ait es,0,0,0,0,0
neverending,342111,11,7,4,2,never ending,0,0,0,0,0
illumines,22142,9,7,2,2,illum ines,0,0,0,0,1
flexipass,33523,9,8,1,3,flex ip ass,0,1,0,0,0
esri,968637,4,4,0,2,es ri,1,1,1,1,0
ppage,27217,5,4,1,2,pp age,1,1,0,1,0
financebusiness,12738,15,9,6,2,finance business,0,0,0,0,0
tirau,13824,5,5,0,3,t ir au,1,1,1,0,1
conerter,13406,8,6,2,3,con er ter,0,1,0,0,0
rondonia,21240,8,6,2,3,r ondon ia,0,1,1,0,0
polytetrafluoroethylene,73244,23,12,11,6,poly tet ra flu oro ethylene,0,0,0,0,0
chms,14936,4,4,0,2,ch ms,1,1,1,1,1
motorcars,115390,9,7,2,2,motor cars,0,1,0,0,0
rpcinfo,19899,7,7,0,2,rpc info,0,1,0,0,1
grimble,24163,7,7,0,2,grim ble,1,1,0,0,1
typographic,273793,11,10,1,2,typ ographic,0,1,0,0,0
hobbycraft,44934,10,9,1,3,h obby craft,1,1,0,0,0
minges,13743,6,6,0,2,ming es,1,1,1,1,1
prolyte,1651670,7,7,0,3,pro ly te,1,1,1,1,1
cleric,969331,6,5,1,2,cl eric,1,1,0,0,0
lieutenant,3946806,10,7,3,2,lie utenant,0,1,0,0,0
titleholder,19560,11,8,3,2,title holder,0,0,0,0,0
yzaguirre,13042,9,8,1,4,yz ag uir re,0,1,0,0,0
senterfitt,14432,10,7,3,4,s enter f itt,0,1,0,0,0
handera,171396,7,6,1,2,hand era,1,1,0,1,1
pearpc,57721,6,5,1,2,pear pc,1,1,0,0,0
smartmarket,36095,11,7,4,2,smart market,0,1,0,0,0
jamboree,577150,8,7,1,4,j amb ore e,0,1,0,0,0
tdm,1197978,3,3,0,2,td m,1,1,1,1,1
unpopularity,66040,12,10,2,3,un pop ularity,0,1,0,0,0
binladen,16163,8,7,1,2,bin laden,1,1,0,0,0
cholula,31237,7,6,1,3,ch ol ula,1,1,0,0,0
launchbar,14627,9,8,1,2,launch bar,1,1,0,0,1
yetman,26537,6,6,0,2,yet man,1,1,1,1,1
effective,75960822,9,6,3,1,effective,1,1,0,0,0
enstore,111196,7,6,1,2,en store,1,1,0,0,1
sbsi,29740,4,3,1,3,s bs i,1,1,0,1,1
oblig,31035,5,5,0,2,ob lig,1,1,1,0,0
jffs,33026,4,3,1,3,j ff s,0,1,0,0,0
dazu,215224,4,4,0,2,d azu,1,1,1,0,1
sinews,67648,6,5,1,2,sin ews,0,1,0,0,0
braudel,38901,7,7,0,3,bra ud el,1,1,1,0,1
badcredit,47134,9,8,1,2,bad credit,0,1,0,0,0
professor,40572636,9,6,3,2,prof essor,0,1,0,0,0
notepad,1508900,7,7,0,2,not epad,0,1,0,0,0
sjk,36518,3,3,0,2,sj k,1,1,1,0,0
wwwtommys,35954,9,6,3,3,www tom mys,1,1,0,0,0
oyer,35342,4,4,0,1,oyer,1,1,1,1,1
masa,355073,4,3,1,2,mas a,1,1,0,1,0
wishing,5077786,7,6,1,2,w ishing,0,1,0,1,0
demonstration,9347680,13,10,3,3,d emon stration,0,0,0,0,0
wwwthehunnet,35961,12,6,6,5,www the h un net,0,0,0,0,0
chilkats,18307,8,8,0,3,ch ilk ats,1,1,1,1,0
neshannock,12789,10,8,2,4,n esh ann ock,0,1,0,0,0
zts,37083,3,3,0,2,z ts,1,1,1,1,1
slutswives,21609,10,8,2,4,sl ut sw ives,0,0,0,0,0
campin,47295,6,6,0,2,camp in,1,1,1,0,1
wwwsteakandcheesecom,30986,20,12,8,7,www ste ak and che es ecom,0,0,0,0,0
bruceton,41446,8,8,0,3,br uc eton,1,1,0,0,1
outrageously,266361,12,10,2,4,ou tr age ously,0,0,0,0,0
importing,2862094,9,8,1,2,import ing,0,1,0,0,0
knuckleheads,51145,12,10,2,3,kn uckle heads,0,0,0,0,0
qiu,246161,3,3,0,2,q iu,1,1,1,1,1
bupers,13454,6,6,0,3,b up ers,1,1,1,1,1
kosg,68707,4,4,0,2,kos g,1,1,1,0,1
shying,47023,6,6,0,2,sh ying,0,0,0,0,1
jurisprudential,36990,15,12,3,5,jur is pr ud ential,0,1,0,0,0
wattana,30849,7,4,3,3,w att ana,1,1,0,0,0
kazootoys,21407,9,7,2,5,k az oot o ys,0,0,0,0,0
fuze,102573,4,4,0,2,fu ze,1,1,1,1,1
splogs,38768,6,5,1,2,sp logs,0,1,0,0,0
roseboom,32938,8,6,2,2,rose boom,0,1,0,0,0
cobbs,142352,5,4,1,2,cob bs,1,1,0,0,0
forword,28257,7,5,2,2,for word,0,0,0,0,0
donata,21448,6,5,1,2,don ata,1,1,0,0,0
